name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y
Vassan Eye Care Hospital,18.5167739,73.93317104,private hospital,Private,,,,
Mahrashtra Medical Foundetion JoshiHosptial,18.5171774,73.83323065,private hospital,Private,,,,
Ghaisas Ent Hospitalnan,18.5172985,73.84236323,private hospital,Private,,,,
Gandhi Accident & General Hospitalnan,18.5173963,73.84715994,private hospital,Private,,,,
Wagdarikar Hospital,18.5177589,73.8587391,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Pearl Womens Hospital & Yash Ivf`,18.5178319,73.84438467,private hospital,Private,,,,
Sheth Tarachand RamanathCharitable Aurvedic Hospital,18.5179954,73.86448721,private hospital,Private,,,,
Phadke Hospitalnan,18.5181324,73.84390052,private hospital,Private,,,,
Paranjpe Eye Clinic,18.5183819,73.8403901,private clinic,Private,,,,
Gupte Hospital of Acurate DaigonesticPvt.Ltd.,18.5184926,73.83988249,private hospital,Private,,,,
The Cedar Clinic Infertility Center,18.518731,73.8342537,private clinic,Private,,,,
Children Hospital,18.5188041,73.86023877,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Jabde Hospitalnan,18.5189179,73.85948013,private hospital,Private,,,,
Deccan Centernan,18.5189549,73.84463076,private hospital,Private,,,,
Gupte Hospital,18.5191366,73.8399448,private clinic,Private,,,,
Jijamata Hospitalnan,18.5192632,73.85714533,private hospital,Private,,,,
Dhanwantari Hospitalnan,18.5193877,73.86637561,private hospital,Private,,,,
Accurate Diagnostic Pvt. Ltd.,18.5194333,73.83997699,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Samarth Hospitalnan,18.5195018,73.8621055,private hospital,Private,,,,
Late. Mukundrao Lele Dawakhana,18.519752,73.854411,Government hospital(PMC),Government,,,,
K.E.M. Hospitalnan,18.5198093,73.86724329,private hospital,Private,,,,
Family Doctor Clinic,18.5205081,73.8567695,private clinic,Private,,,,
Vision Nextnan,18.520531,73.84417413,private hospital,Private,,,,
Visage Skin Clinic,18.520873,73.841493,private clinic,Private,,,,
Universal Hospitalnan,18.5215002,73.85566468,private hospital,Private,,,,
Surya Hospital Pvt. Ltd. SuryaSahaydri Hospital,18.5215923,73.85579984,private hospital,Private,,,,
Skin City India - Best Dermatologist in Camp Pune,18.521637,73.876436,private clinic,Private,,,,
Dr. Kothari Accident Hospitalnan,18.5216956,73.84521143,private hospital,Private,,,,
"Dr. Nanal - Sex specialist doctor and clinic pune, sexologist in pune",18.522298,73.865999,private clinic,Private,,,,
Kaluskar Hospital & Laboretorynan,18.5226483,73.84778341,private hospital,Private,,,,
Late. Jangalrao Kondiba Amrale Dawakhana,18.522728,73.852555,Government hospital(PMC),Government,,,,
Kalekar Hospital,18.5228262,73.86802192,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Kamala Nehru Hospital (General Hospital),18.52283,73.86199,Government hospital(PMC),Government,,,,
Polyclinic & Hospitalnan,18.5228462,73.85107889,private hospital,Private,,,,
Pandit Plastic Surgery Clinic,18.5234394,73.8495823,private clinic,Private,,,,
Kelkar Hospitalnan,18.5238131,73.84701137,private hospital,Private,,,,
Prashant Hospital Maternity &General Hospital,18.5241744,73.84353928,private hospital,Private,,,,
Dr. Manohar Joshi Memorial Hospitalnan,18.5244702,73.84362612,private hospital,Private,,,,
Sanjeevan Surgery/ Atharva Netralaya& Reserch Centre,18.5246082,73.84237112,private hospital,Private,,,,
Surgical & General Nursing Homenan,18.5246144,73.84984613,private hospital,Private,,,,
Deendayal Memorial Hospitalnan,18.5246973,73.84113306,private hospital,Private,,,,
Late. Dadasaheb Gaikwad Dawakhana,18.524737,73.865131,Government hospital(PMC),Government,,,,
32 Smiles,18.524747,73.849466,private clinic,Private,,,,
"Dental Sphere: Best Dentist, Dental Clinic on F.C.Road, Deccan, Pune",18.524969,73.841222,private clinic,Private,,,,
Pioneer Medilesar Pvt. Ltd.,18.5252102,73.84180896,private hospital,Private,N.A.,N.A.,N.A.,N.A.
Dr. Meena Ambule,18.5254603,73.8304487,Dispensary,Government,,,,
Dr. Arun Limaye Memorial Nandadip Hospital & Resarch Center Pvt. Ltd.,18.5254842,73.84185157,private hospital,Private,,,,
Suraj Hospitalnan,18.5257487,73.85271316,private hospital,Private,,,,
Walvekar Dr Shubhada,18.5274682,73.8269515,private clinic,Private,,,,
Maharashtra Medical FoundetionRatna Memorial Hospital,18.5276913,73.82960304,private hospital,Private,,,,
Rajeshree Shahu Maharaj Dawakhana,18.527713,73.907674,Government hospital(PMC),Government,,,,
Panse Hospital,18.5279466,73.8749931,private clinic,Private,,,,
Naik Clinic,18.528687,73.842839,private clinic,Private,,,,
Pune Fertility Centre,18.5287659,73.8478822,private clinic,Private,N.A.,N.A.,N.A.,N.A.
Dr. Homi J. Bhabha Maternity Home,18.529152,73.833361,Government hospital(PMC),Government,,,,
Dr. Suresh Parasnis Dispensary,18.529241,73.830514,Dispensary,Government,,,,
Sakhi Clinicnan,18.5293097,73.84328456,private hospital,Private,,,,
Oyster  & Pearl Tulip  Hospitalnan,18.5294331,73.82849362,private hospital,Private,,,,
Dr. Zine Patil Dispensary - Family Physician,18.5297967,73.8327551,Dispensary,Government,,,,
Center For Joint Repleacment Surgarynan,18.5297972,73.85262256,private hospital,Private,,,,
Sancheti Institute For Orthopedic &Rehabilitaion,18.529803,73.85304012,private hospital,Private,,,,
Sancheti Hospital,18.5299852,73.8530692,private clinic,Private,,,,
Jehangir Hospital,18.5302176,73.87686631,private hospital,Private,N.A.,YES,N.A.,YES
Sushrut  Hospitalnan,18.5302359,73.84758768,private hospital,Private,,,,
N. M. Wadiya Institute of CardiologyCharitable Trust,18.530461,73.8772286,private hospital,Private,,,,
"Skin City India - Dermatology Clinic in Pune, Hair Transplantation Clinic, Skin",18.5305342,73.8769023,private clinic,Private,,,,
dentspa best dental clinic in pune,18.530822,73.847464,private clinic,Private,,,,
Pune Municipal Corpn Dispensaries,18.5308225,73.8474647,Dispensary,Government,,,,
Atharv Hospitalnan,18.53119,73.84731013,private hospital,Private,,,,
"Life Force Homeopathy Clinic, Sasoon Road, Pune",18.531353,73.876723,private clinic,Private,,,,
Dr. Naidu Hospital,18.53139,73.869151,Government hospital(PMC),Government,,,,
National Institute of Naturopathy,18.5315624,73.8740255,Dispensary,Government,,,,
Pashan Dispensary,18.5315796,73.8501753,Dispensary,Government,,,,
Oyster  & Pearl Hospital Pvt.Ltd.,18.5319151,73.84731079,private hospital,Private,,,,
Define Aesthetics,18.531965,73.830489,private clinic,Private,,,,
Dr. Gogate Eye Clinic,18.5319958,73.87452667,private hospital,Private,,,,
Dr Gogate`s Eye Clinic,18.532037,73.874475,private clinic,Private,,,,
Sai Cosmetic Clinic - Hair Transplant Surgery Clinic & Skin Care Treatment in Pu,18.5321814,73.9331529,private clinic,Private,,,,
Best Cardiologist in Pune - Dr. Rahul Patil,18.532312,73.876551,private clinic,Private,,,,
Dr. Wachasunder Ent Clinicnan,18.5326896,73.84288448,private hospital,Private,,,,
Dr. Dalvi Maternity Hospital,18.533046,73.84891,Government hospital(PMC),Government,,,,
Grant Medical Foundetion Ruby HollClinic,18.5334009,73.87738058,private hospital,Private,,,,
Ruby Hall Clinic,18.5335172,73.8773236,private clinic,Private,,,,
Kids Clinic (I) Pvt. Ltd. Cloud NineHospital,18.5335351,73.84718891,private hospital,Private,,,,
Late. Sakharam Kundlik Kodre Maternity Home,18.53391,73.927257,Government hospital(PMC),Government,,,,
Dr. Viral - Cosmetic & Hair Transplant Surgeon,18.5362257,73.8987395,private clinic,Private,,,,
Morpheus Bliss Fertility Center,18.536725,73.876726,private clinic,Private,,,,
Four Fountains De-Stress Spa,18.536767,73.898448,Dispensary,Government,,,,
Late. Sahadev Eknath Nimhan Maternity Home,18.537722,73.795979,Government hospital(PMC),Government,,,,
Sahadeo Eknath Nimhan Dispensary,18.5377887,73.7959732,Dispensary,Government,,,,
Late. Bapusaheb Genuji Kawade Patil Dawakhana,18.537819,73.898493,Government hospital(PMC),Government,,,,
Dr.Sanjay Agarwal's Aegle Clinic,18.538359,73.875842,private clinic,Private,,,,
Kaya Skin Clinic,18.5391386,73.8988786,private clinic,Private,,,,
Dispensary,18.539337,73.794978,Dispensary,Government,,,,
RX Clinic,18.5394259,73.8951133,private clinic,Private,,,,
Blush Clinics by Dr Jamuna Pai Pune,18.5406983,73.8795937,private clinic,Private,,,,
"Jehangir Oracare Dental Centre - Bhosale Nagar, Pune",18.542725,73.838442,private clinic,Private,,,,
Habbu Homoeo Clinic,18.542875,73.8176473,Dispensary,Government,,,,
Dr Pandit's Clinic for Dental Excellence & Implant Centre Pune,18.543201,73.785428,private clinic,Private,,,,
Express Clinics,18.5451885,73.9095194,private clinic,Private,,,,
Hair Science Robotic Hair Transplant clinic in Pune,18.545273,73.829756,private clinic,Private,,,,
Katariya Hospitalnan,18.545521,73.88597036,private hospital,Private,,,,
Bharat Ratna Late. Rajiv Gandhi Maternity Home,18.545626,73.883893,Government hospital(PMC),Government,,,,
Sparkle The Dental Clinic,18.546734,73.901789,private clinic,Private,,,,
Late. Lokshahir Annabhau Sathe Dawakhana,18.549598,73.890645,Government hospital(PMC),Government,,,,
Gold Rush Hospitalnan,18.5500917,73.93729302,private hospital,Private,,,,
Parees Homeopathy Clinic,18.550356,73.893627,Dispensary,Government,,,,
Central Government Health Services Dispensary,18.5513194,73.8199604,Dispensary,Government,,,,
Shree Hospital Criticare & TraumaCentre Pvt.Ltd.,18.5515319,73.94122124,private hospital,Private,,,,
Homeopathy Clinic @ Kharadi Pune,18.551602,73.938706,private clinic,Private,,,,
Late. Damodar Ravji Galande Patil Dawakhana,18.551841,73.896929,Government hospital(PMC),Government,,,,
The Family Clinic,18.5527212,73.8896446,private clinic,Private,,,,
Spinalogy Clinic,18.553231,73.809165,private clinic,Private,,,,
Dr. Dixit's Dental Speciality Clinic & Implant Centre,18.5533601,73.8989983,private clinic,Private,,,,
"Richfeel Trichology Centre, Aundh",18.553839,73.805208,private clinic,Private,,,,
Dr.Mathesul Dental & Orthodontic Braces Center,18.554616,73.905808,private clinic,Private,,,,
Life Active Physiotherapy Clinic,18.555077,73.953214,private clinic,Private,,,,
Lotus Clinic (Dr. Prachi Deshpande),18.5551768,73.7961959,private clinic,Private,,,,
NuAyurveda Clinic,18.555967,73.807946,private clinic,Private,,,,
Apollo Clinic - Aundh,18.5566259,73.8088255,private clinic,Private,,,,
"""MUPPRA"" Kerala Ayurvedic Treatment Centre, Baner, PUNE",18.557115,73.794593,Dispensary,Government,,,,
"Sunshine Physiotherapy Clinic ,Pune",18.5576621,73.793673,private clinic,Private,,,,
