name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
The Family Clinic,18.5527212,73.8896446,private clinic,Private,,,,,the family clinic,[]
Spinalogy Clinic,18.553231,73.809165,private clinic,Private,,,,,spinalogy clinic,[]
Dr. Dixit's Dental Speciality Clinic & Implant Centre,18.5533601,73.8989983,private clinic,Private,,,,,dr dixits dental speciality clinic implant centre,[]
"Richfeel Trichology Centre, Aundh",18.553839,73.805208,private clinic,Private,,,,,richfeel trichology centre aundh,[]
Dr.Mathesul Dental & Orthodontic Braces Center,18.554616,73.905808,private clinic,Private,,,,,drmathesul dental orthodontic braces center,[]
Life Active Physiotherapy Clinic,18.555077,73.953214,private clinic,Private,,,,,life active physiotherapy clinic,[]
Lotus Clinic (Dr. Prachi Deshpande),18.5551768,73.7961959,private clinic,Private,,,,,lotus clinic dr prachi deshpande,[]
NuAyurveda Clinic,18.555967,73.807946,private clinic,Private,,,,,nuayurveda clinic,[]
Apollo Clinic - Aundh,18.5566259,73.8088255,private clinic,Private,,,,,apollo clinic aundh,[]
"""MUPPRA"" Kerala Ayurvedic Treatment Centre, Baner, PUNE",18.557115,73.794593,Dispensary,Government,,,,,muppra kerala ayurvedic treatment centre baner pune,[]
"Sunshine Physiotherapy Clinic ,Pune",18.5576621,73.793673,private clinic,Private,,,,,sunshine physiotherapy clinic pune,[]
Aggarwal Speciality Clinic,18.5578419,73.9089308,private clinic,Private,,,,,aggarwal speciality clinic,[]
Spark The Skin Hair Laser Clinic,18.5582664,73.9280038,private clinic,Private,,,,,spark the skin hair laser clinic,[]
Ashwini Eye Care Clinic,18.5584909,73.7918017,private clinic,Private,,,,,ashwini eye care clinic,[]
ENT & Vertigo Clinic,18.5587283,73.7912102,private clinic,Private,,,,,ent vertigo clinic,[]
Elite Dental Clinic,18.5599961,73.789163,private clinic,Private,,,,,elite dental clinic,[]
Skin City India - Skin Care and Hair Fall Treatment Specialist in Aundh,18.560076,73.809611,private clinic,Private,,,,,skin city india skin care and hair fall treatment specialist in aundh,[]
"Dr. Ravi Kothari, Sparsh Skin Care Clinic",18.560391,73.808357,private clinic,Private,,,,,dr ravi kothari sparsh skin care clinic,[]
Divya Eye Clinic,18.5604318,73.8126775,private clinic,Private,,,,,divya eye clinic,[]
Dr. Pharande's Orthodontic & Dental Clinic,18.5605554,73.8045591,private clinic,Private,,,,,dr pharandes orthodontic dental clinic,[]
Women's Clinic,18.5610659,73.8129524,private clinic,Private,,,,,womens clinic,[]
Mrunmayee Health Cear Pvt. Ltd.(Sangamnerkar Hospital),18.561147,73.92141073,private hospital,Private,,,,,mrunmayee health cear pvt ltdsangamnerkar hospital,[]
Dental Hub - Orthodontic Dental Clinic Baner Pune,18.561429,73.785913,private clinic,Private,,,,,dental hub orthodontic dental clinic baner pune,[]
Smile Essentials Family Dental Clinic,18.5617281,73.9492295,private clinic,Private,,,,,smile essentials family dental clinic,[]
Skin Specialist in pune Viman Nagar clinic,18.561823,73.920425,private clinic,Private,,,,,skin specialist in pune viman nagar clinic,[]
Vishwa Multispeciality Clinic & Diagnostics,18.5618806,73.7854531,private clinic,Private,,,,,vishwa multispeciality clinic diagnostics,[]
Kotbagi  Hospital Pvt. Ltd.,18.5619453,73.8048489,private hospital,Private,N.A.,N.A.,N.A.,N.A.,kotbagi hospital pvt ltd,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
Dispensary Clinic,18.5623609,73.8029859,Dispensary,Government,,,,,dispensary clinic,[]
Medipoint Hospitalnan,18.5626131,73.93375615,private hospital,Private,,,,,medipoint hospitalnan,"['TATA AIG', 'HDFC ERGO', 'Aditya Birla']"
K.Baburao Genba Shewale Dispensary,18.562649,73.832739,Dispensary,Government,,,,,kbaburao genba shewale dispensary,[]
Late. Baburao Genba Shevale Dawakhana,18.562739,73.832653,Government hospital(PMC),Government,,,,,late baburao genba shevale dawakhana,[]
Aundh Kuti Maternity Home,18.562805,73.810015,Government hospital(PMC),Government,,,,,aundh kuti maternity home,[]
Dr. Damle Skin clinic,18.5628057,73.9325977,private clinic,Private,,,,,dr damle skin clinic,[]
Kohkade Hospitalnan,18.5628385,73.93184179,private hospital,Private,,,,,kohkade hospitalnan,"['TATA AIG', 'Care Health']"
Vitalife clinic,18.563971,73.783057,private clinic,Private,,,,,vitalife clinic,[]
Dr. Pawar's Dental Clinic,18.564006,73.949777,private clinic,Private,,,,,dr pawars dental clinic,[]
Indira IVF Pune,18.564151,73.907138,private clinic,Private,,,,,indira ivf pune,[]
"Dental Clinic in Baner, Pune - Jehangir Oracare Dental Centre",18.564407,73.775071,private clinic,Private,,,,,dental clinic in baner pune jehangir oracare dental centre,[]
Apollo Clinic - Viman Nagar,18.5645194,73.9139048,private clinic,Private,,,,,apollo clinic viman nagar,[]
PhysioActive- Speciality Physiotherapy Clinic,18.56455,73.907447,private clinic,Private,,,,,physioactive speciality physiotherapy clinic,[]
Dispensary - Dr. B. T. Wani,18.5646672,73.8110299,Dispensary,Government,,,,,dispensary dr b t wani,[]
Aster Dental Clinic,18.56498,73.917462,private clinic,Private,,,,,aster dental clinic,[]
"'MUPPRA"" Kerala Ayurvedic Treatment Centre, Viman Nagar, Pune",18.565275,73.915375,Dispensary,Government,,,,,muppra kerala ayurvedic treatment centre viman nagar pune,[]
Jeevan Jyot Clinic,18.5653687,73.9141944,private clinic,Private,,,,,jeevan jyot clinic,[]
Ashwini Homoeopathic Clinic & Pharmacy,18.5656118,73.8069084,private clinic,Private,,,,,ashwini homoeopathic clinic pharmacy,[]
Yash Clinic,18.5657754,73.7823362,private clinic,Private,,,,,yash clinic,[]
Vatsalya Women's Clinic,18.5661755,73.8071905,private clinic,Private,,,,,vatsalya womens clinic,[]
The Family Doctor and The Family Pharma Viman Nagar,18.566384,73.913643,private clinic,Private,,,,,the family doctor and the family pharma viman nagar,[]
Sai Clinic,18.5668834,73.9182365,private clinic,Private,,,,,sai clinic,[]
Trust Clinic,18.56839,73.882239,private clinic,Private,,,,,trust clinic,[]
Sanjay Gandhi Maternity Home,18.571104,73.838294,Government hospital(PMC),Government,,,,,sanjay gandhi maternity home,[]
