name,lat,long,facility_type,ownership,emergency_beds_x,ambulance_available_x,emergency_beds_y,ambulance_available_y,hospital_name_clean,insurance_networks
Konkan Mitra Mandal Trust's SahyadriSpeciality Hospital,18.513101,73.83929666,private hospital,Private,,,,,konkan mitra mandal trusts sahyadrispeciality hospital,[]
Parivartan Ayurved Hospital,18.5132423,73.80802103,private hospital,Private,N.A.,N.A.,N.A.,N.A.,parivartan ayurved hospital,[]
Shining Smiles Orthodontic & Multispeciality Dental Clinic,18.51343,73.855627,private clinic,Private,,,,,shining smiles orthodontic multispeciality dental clinic,[]
Eye Hospital (Dr. Bhat's Eye CareCenter),18.5134975,73.84590853,private hospital,Private,,,,,eye hospital dr bhats eye carecenter,[]
Laxmi Clincnan,18.5136354,73.84559137,private hospital,Private,,,,,laxmi clincnan,[]
Sharada Clinic Shaishav Clinicnan,18.5137981,73.84772473,private hospital,Private,,,,,sharada clinic shaishav clinicnan,[]
"Sathe Eye Clinic, Day Care Clinicnan",18.5138288,73.84498919,private hospital,Private,,,,,sathe eye clinic day care clinicnan,[]
Sutika Seva Mandirnan,18.5139169,73.84640123,private hospital,Private,,,,,sutika seva mandirnan,[]
Best ivf infertility specialist in Pune Pcmc - Xenith Clinic,18.514103,73.828748,private clinic,Private,,,,,best ivf infertility specialist in pune pcmc xenith clinic,[]
Dr. Tarabai Limye Hospitalnan,18.5142345,73.8494506,private hospital,Private,,,,,dr tarabai limye hospitalnan,[]
Kirad Hospital,18.5142545,73.86886318,private hospital,Private,N.A.,N.A.,N.A.,N.A.,kirad hospital,"['TATA AIG', 'Care Health', 'HDFC ERGO']"
Richfeel Trichology Centre,18.514315,73.849749,private clinic,Private,,,,,richfeel trichology centre,[]
Sarswati Vilas Hospitalnan,18.5145037,73.85175613,private hospital,Private,,,,,sarswati vilas hospitalnan,[]
Dr.Ketkar Ent Hospitalnan,18.5145113,73.84702507,private hospital,Private,,,,,drketkar ent hospitalnan,[]
Lathi Hospital & Surgical NursingHome,18.5146524,73.85000965,private hospital,Private,,,,,lathi hospital surgical nursinghome,[]
Netra Seva Kendra (Jan Kalyan EyeBank),18.5146832,73.84726299,private hospital,Private,,,,,netra seva kendra jan kalyan eyebank,[]
Late. Kalavatibai Mavale Dawakhana,18.514826,73.84675,Government hospital(PMC),Government,,,,,late kalavatibai mavale dawakhana,[]
Samvedan Ent & Eye Care Center,18.515151,73.782452,private clinic,Private,,,,,samvedan ent eye care center,[]
V.V And Co.,18.515351,73.856388,Dispensary,Government,,,,,vv and co,[]
Dr. Manohar Gadre,18.5153929,73.850178,Dispensary,Government,,,,,dr manohar gadre,[]
Sathe Hospitalnan,18.5154496,73.84194242,private hospital,Private,,,,,sathe hospitalnan,['Aditya Birla']
Late. Mamasaheb Badade Dawakhana,18.515515,73.867725,Government hospital(PMC),Government,,,,,late mamasaheb badade dawakhana,[]
"Lasik Laser Cataract Eye Surgery, Eye Clinic Specialist In Pune",18.515617,73.815373,private clinic,Private,,,,,lasik laser cataract eye surgery eye clinic specialist in pune,[]
Renu Maternity & Nursing Home,18.5156975,73.87092773,private hospital,Private,,,,,renu maternity nursing home,[]
Dr. Khurd Maternity Homenan,18.5157111,73.85615119,private hospital,Private,,,,,dr khurd maternity homenan,[]
S.P. Deshpande Eye Clinicnan,18.5157878,73.8470853,private hospital,Private,,,,,sp deshpande eye clinicnan,[]
Hutatma Babu Genu Dawakhana,18.515805,73.859786,Government hospital(PMC),Government,,,,,hutatma babu genu dawakhana,[]
Shreeyash Hospitalnan,18.5158584,73.84188041,private hospital,Private,,,,,shreeyash hospitalnan,"['TATA AIG', 'Care Health', 'HDFC ERGO', 'Aditya Birla']"
"Orthodontic, Dental clinic, Dental implant, Root canal, Teeth whitening, Deccan",18.515868,73.841703,private clinic,Private,,,,,orthodontic dental clinic dental implant root canal teeth whitening deccan,[]
Asha Kiran Hospitalnan,18.5159023,73.84746873,private hospital,Private,,,,,asha kiran hospitalnan,[]
Yashada Hospital,18.5162507,73.86153084,private hospital,Private,,,,,yashada hospital,"['TATA AIG', 'Care Health']"
Dr Deven Raisoni,18.5163528,73.8422415,Dispensary,Government,,,,,dr deven raisoni,[]
Hrishikesh Healthcare Pvt. Ltd.,18.5164131,73.84213022,private hospital,Private,,,,,hrishikesh healthcare pvt ltd,[]
Painex - Pain Clinic in Pune,18.516445,73.851879,private clinic,Private,,,,,painex pain clinic in pune,[]
Saikrupa Nursing Homenan,18.5165182,73.84771221,private hospital,Private,,,,,saikrupa nursing homenan,[]
Chaitanya Eye Clinic & Phaco Centrenan,18.516541,73.85158874,private hospital,Private,,,,,chaitanya eye clinic phaco centrenan,[]
Vassan Eye Care Hospital,18.5167739,73.93317104,private hospital,Private,,,,,vassan eye care hospital,"['TATA AIG', 'Care Health']"
Mahrashtra Medical Foundetion JoshiHosptial,18.5171774,73.83323065,private hospital,Private,,,,,mahrashtra medical foundetion joshihosptial,[]
Ghaisas Ent Hospitalnan,18.5172985,73.84236323,private hospital,Private,,,,,ghaisas ent hospitalnan,[]
Gandhi Accident & General Hospitalnan,18.5173963,73.84715994,private hospital,Private,,,,,gandhi accident general hospitalnan,[]
Wagdarikar Hospital,18.5177589,73.8587391,private hospital,Private,N.A.,N.A.,N.A.,N.A.,wagdarikar hospital,"['TATA AIG', 'HDFC ERGO']"
Pearl Womens Hospital & Yash Ivf`,18.5178319,73.84438467,private hospital,Private,,,,,pearl womens hospital yash ivf,[]
Sheth Tarachand RamanathCharitable Aurvedic Hospital,18.5179954,73.86448721,private hospital,Private,,,,,sheth tarachand ramanathcharitable aurvedic hospital,[]
Phadke Hospitalnan,18.5181324,73.84390052,private hospital,Private,,,,,phadke hospitalnan,[]
Paranjpe Eye Clinic,18.5183819,73.8403901,private clinic,Private,,,,,paranjpe eye clinic,[]
Gupte Hospital of Acurate DaigonesticPvt.Ltd.,18.5184926,73.83988249,private hospital,Private,,,,,gupte hospital of acurate daigonesticpvtltd,['HDFC ERGO']
The Cedar Clinic Infertility Center,18.518731,73.8342537,private clinic,Private,,,,,the cedar clinic infertility center,[]
Children Hospital,18.5188041,73.86023877,private hospital,Private,N.A.,N.A.,N.A.,N.A.,children hospital,"['Aditya Birla', 'Care Health']"
Jabde Hospitalnan,18.5189179,73.85948013,private hospital,Private,,,,,jabde hospitalnan,[]
Deccan Centernan,18.5189549,73.84463076,private hospital,Private,,,,,deccan centernan,[]
Gupte Hospital,18.5191366,73.8399448,private clinic,Private,,,,,gupte hospital,['Care Health']
Jijamata Hospitalnan,18.5192632,73.85714533,private hospital,Private,,,,,jijamata hospitalnan,[]
Dhanwantari Hospitalnan,18.5193877,73.86637561,private hospital,Private,,,,,dhanwantari hospitalnan,['Care Health']
Accurate Diagnostic Pvt. Ltd.,18.5194333,73.83997699,private hospital,Private,N.A.,N.A.,N.A.,N.A.,accurate diagnostic pvt ltd,[]
Samarth Hospitalnan,18.5195018,73.8621055,private hospital,Private,,,,,samarth hospitalnan,"['Aditya Birla', 'TATA AIG']"
Late. Mukundrao Lele Dawakhana,18.519752,73.854411,Government hospital(PMC),Government,,,,,late mukundrao lele dawakhana,[]
